"Symbol","Name","Sector"
"CENT","Central Garden and Pet","Consumer Staples","Equity"
"CENX","Century Aluminum","Materials","Equity"
"CERC","Cerecor Inc","Health Care","Equity"
"CERS","Cerus Corp","Health Care","Equity"
"CETV","Central European Media Enterprises","Communication","Equity"
"CEVA","Ceva Inc","Information Technology","Equity"
"CFB","Crossfirst Bankshares Inc","Financials","Equity"
"CFFI","C and F Finanacial Corp","Financials","Equity"
"CFFN","Capitol Federal Financial Inc","Financials","Equity"
"CFRX","Contrafect Corp","Health Care","Equity"
"CHCO","City Holding","Financials","Equity"
"CHCT","Community Healthcare Trust Inc","Real Estate","Equity"
"CHDN","Churchill Downs Inc","Consumer Discretionary","Equity"
"CHEF","Chefs Warehouse Inc","Consumer Staples","Equity"
"CHMA","Chiasma Inc","Health Care","Equity"
"CHMG","Chemung Financial Corp","Financials","Equity"
"CHMI","Cherry Hill Mortgage Investment Re","Financials","Equity"
"CHRS","Coherus Biosciences Inc","Health Care","Equity"
"CHS","Chicos FAS Inc","Consumer Discretionary","Equity"
"CHUY","Chuys Holdings Inc","Consumer Discretionary","Equity"
"CHX","Championx Corp","Energy","Equity"
"CIA","Citizens Inc Class A","Financials","Equity"
"CIM","Chimera Investment Corp","Financials","Equity"
"CIO","City Office Reit Inc","Real Estate","Equity"
"CIR","Circor International Inc","Industrials","Equity"
"CIT","CIT Group Inc","Financials","Equity"
"CIVB","Civista Bancshares Inc","Financials","Equity"
"CIZN","Citizens Holding","Financials","Equity"
"CKH","Seacor Holdings Inc","Industrials","Equity"
"CKPT","Checkpoint Therapeutics Inc","Health Care","Equity"
"CLAR","Clarus Corp","Consumer Discretionary","Equity"
"CLBK","Columbia Financial Inc","Financials","Equity"
"CLCT","Collectors Universe Inc","Consumer Discretionary","Equity"
"CLDR","Cloudera Inc","Industrials","Equity"
"CLDT","Chatham Lodging Trust Reit","Real Estate","Equity"
"CLF","Cleveland Cliffs Inc","Materials","Equity"
"CLFD","Clearfield Inc","Information Technology","Equity"
"CLI","Mack-Cali Realty REIT Corp","Real Estate","Equity"
"CLNC","Colony Credit Real Estate Inc Class","Financials","Equity"
"CLNE","Clean Energy Fuels Corp","Energy","Equity"
"CLNY","Colony Capital Inc Class A","Real Estate","Equity"
"CLPR","Clipper Realty Inc","Real Estate","Equity"
"CLVS","Clovis Oncology Inc","Health Care","Equity"
"CLW","Clearwater Paper Corp","Materials","Equity"
"CLXT","Calyxt Inc","Health Care","Equity"
"CMBM","Cambium Networks Corp","Information Technology","Equity"
"CMC","Commercial Metals","Materials","Equity"
"CMCL","Caledonia Mining PLC","Materials","Equity"
"CMCO","Columbus Mckinnon Corp","Industrials","Equity"
"CMCT","CIM Commerical Trust Corp","Real Estate","Equity"
"CMD","Cantel Medical Corp","Health Care","Equity"
"CMO","Capstead Mortgage Reit Corp","Financials","Equity"
"CMP","Compass Minerals International Inc","Materials","Equity"
"CMPR","Cimpress PLC","Industrials","Equity"
"CMRE","Costamare Inc","Industrials","Equity"
"CMRX","Chimerix Inc","Health Care","Equity"
"CMTL","Comtech Telecommunications Corp","Information Technology","Equity"
"CNBKA","Century Bancorp Inc Class A","Financials","Equity"
"CNCE","Concert Pharmaceuticals Inc","Health Care","Equity"
"CNDT","Conduent Inc","Information Technology","Equity"
"CNK","Cinemark Holdings Inc","Communications","Equity"
"CNK","Cinemark Holdings Inc","Communications","Equity"
"CNMD","Conmed Corp","Health Care","Equity"
"CNNE","Cannae Holdings Inc","Financials","Equity"
"CNOB","Connectone Bancorp Inc","Financials","Equity"
